Temp.,Dyn. Viscosity,Kin. Viscosity,Density
0,1453.8,1684.4,0.8631
10,712.34,831.44,0.8568
20,381.08,448.1,0.8504
30,220.06,260.69,0.8442
40,135.52,161.73,0.838
50,88.554,106.47,0.8318
60,60.601,73.406,0.8256
70,43.23,52.766,0.8193
80,31.946,39.292,0.813
90,24.31,30.129,0.8069
100,18.992,23.717,0.8008
