Temp.,Dyn. Viscosity,Kin. Viscosity,Density
0,474.65,550.23,0.8626
10,249.94,291.93,0.8561
20,142.17,167.29,0.8498
30,86.6,102.66,0.8435
40,55.926,66.803,0.8372
50,38.008,45.748,0.8308
60,27.008,32.754,0.8246
70,19.844,24.258,0.8181
80,15.064,18.561,0.8116
90,11.734,14.572,0.8053
100,9.3466,11.698,0.799
